"cca","cawt","hyd","msp5_bryo","biofr","miniacina_miniacea_.r.","cyanob","biofv","bi","miniacina_sp_.j.","disporella_novaehollandiae","msp3_sp","sp","msp15_sp","msp12_sp","sowt","tubulipora_sp.","msp20_sp","msp1_ascs","crisia_elongata","msp14_bryo","msp4_ascc","msp9_sp","miniacina_sp_.a.","rdup","msp15_ascc","msp11_ascc","form","msp8_ascc","msp1_ascc","watersipora_subtorquata"
15.217,6.521,47.825,2.174,4.348,4.348,0,2.174,2.174,2.174,2.174,0,0,2.174,0,0,0,0,0,6.521,0,0,0,0,2.174,0,0,0,0,0,0
19.232,38.462,3.846,0,3.846,0,0,0,3.846,0,0,3.846,7.692,0,0,3.846,0,0,0,0,0,0,0,0,0,7.692,0,0,0,0,0
35.297,0,5.882,0,5.882,0,0,0,5.882,0,0,5.882,0,0,0,0,5.882,0,0,0,0,5.882,0,0,0,0,0,0,11.766,0,0
22.5,0,0,0,0,0,0,0,0,0,0,0,2.501,0,0,0,0,32.5,0,7.5,0,0,0,0,0,0,0,0,0,0,0
7.895,7.895,21.053,5.263,2.632,2.632,2.632,0,2.632,0,0,0,2.632,0,0,0,0,0,0,23.684,2.632,0,5.263,0,2.632,0,0,0,5.263,0,0
25,53.572,14.285,0,0,0,0,0,0,0,0,0,0,0,3.572,0,0,0,0,0,0,0,0,0,0,0,0,3.572,0,0,0
9.524,4.762,28.572,9.524,0,0,0,0,4.762,0,0,0,4.762,0,0,4.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.666,30.555,5.556,0,0,2.778,0,2.778,2.778,0,0,8.333,0,0,5.556,2.778,0,8.333,0,2.778,0,0,0,0,0,0,0,0,0,0,0
29.412,11.765,0,0,2.941,2.941,2.941,2.941,0,2.941,0,0,2.941,0,5.883,0,0,0,2.941,5.883,0,0,17.648,0,0,0,0,0,5.883,0,0
20.001,56,7.999,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.143,10.714,21.429,7.143,10.714,0,14.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.571,0,0,0
28.571,7.142,3.572,28.571,0,7.142,17.858,0,0,0,0,0,3.572,0,0,0,3.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2.083,2.083,47.917,0,4.167,6.25,0,0,2.083,0,0,0,0,0,0,0,0,2.083,0,6.25,0,0,0,0,0,0,0,2.083,0,0
30.001,60,4.999,0,4.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.858,21.429,10.714,3.571,21.429,3.571,0,3.571,0,0,0,0,0,0,0,0,0,0,0,10.714,0,0,0,0,0,0,0,0,0,0,0
